"","X","name","type","latitude","longitude","population","year","gas","est_RFNB","gas_base","food_base","ANindex"
"5812",5795,"Kingsclear","First Nations",45.950442,-66.851933,558,1995,55.7833333333333,207.866224625879,24.375,132.77012327345,0.684106524075807
"5900",5944,"Oromocto","First Nations",45.851388889,-66.463611111,452,1995,55.7833333333333,205.221622216789,24.375,130.12552086436,0.689129430682828
"5921",6015,"Saint Mary's","First Nations",45.97195093,-66.632675405,136,1995,55.7833333333333,208.860940474027,24.375,133.764839121597,0.68226865631047
"6009",5782,"Woodstock","First Nations",46.109192,-67.57747,554,1995,55.7833333333333,226.804554689555,24.375,151.708453337125,0.653254113978842
"6072",6164,"Acadia","First Nations",43.832917,-66.084223,94,1996,55.9958333333333,306.978875412551,24.375,229.957232999803,0.581099268345623
"6081",6211,"Annapolis Valley","First Nations",45.065777,-64.654284,260,1996,55.0166666666667,267.738013625203,24.5166666666667,190.716371212455,0.659673174016668
"6086",6199,"Bear River","First Nations",44.549444444,-65.623611111,297,1996,55.9958333333333,280.542927573957,24.375,203.521285161209,0.600037510399199
"6130",6285,"Fort Folly","First Nations",45.892211914,-64.495483398,61,1996,57.8154761904762,297.427068229818,25.8166666666667,220.40542581707,0.602579383951735
"6141",6302,"Glooscap First Nation","First Nations",45.0425,-64.236944,315,1996,55.0166666666667,305.305385206698,24.5166666666667,228.283742793951,0.676546253272969
"6169",6152,"Kingsclear","First Nations",45.950442,-66.851933,558,1996,55.9958333333333,209.791765686198,24.375,132.77012327345,0.687823471627881
"6257",6301,"Oromocto","First Nations",45.851388889,-66.463611111,452,1996,55.9958333333333,207.147163277108,24.375,130.12552086436,0.692955620399238
"6278",6372,"Saint Mary's","First Nations",45.97195093,-66.632675405,136,1996,55.9958333333333,210.786481534345,24.375,133.764839121597,0.685945632453921
"6366",6139,"Woodstock","First Nations",46.109192,-67.57747,554,1996,55.9958333333333,228.730095749873,24.375,151.708453337125,0.656300058799301
"6429",6521,"Acadia","First Nations",43.832917,-66.084223,94,1997,60.0222222222222,309.429564034775,24.375,229.957232999803,0.546446042588303
"6438",6568,"Annapolis Valley","First Nations",45.065777,-64.654284,260,1997,60.0611111111111,270.188702247427,24.5166666666667,190.716371212455,0.615928490932997
"6443",6556,"Bear River","First Nations",44.549444444,-65.623611111,297,1997,60.0222222222222,282.993616196181,24.375,203.521285161209,0.56467603472152
"6487",6642,"Fort Folly","First Nations",45.892211914,-64.495483398,61,1997,59.2428571428571,299.877756852042,25.8166666666667,220.40542581707,0.592906407920553
