"","name","type","latitude","longitude","population","year","gas","est_RFNB"
"178","Mushuau Innu First Nation","First Nations","55.913055556","-61.127222222","538","1979","25.8166666666667","130.49109075648"
"179","Yale First Nation","First Nations","49.562305403","-121.422702513","111","1979","23.2083333333333","201.476450159786"
"180","Tlatlasikwala","First Nations","50.917602539","-127.914672852","455","1979","23.2083333333333","180.594035176515"
"181","Ucluelet First Nation","First Nations","48.939025879","-125.526000977","446","1979","23.2083333333333","130.008738247664"
"182","Flying Post","First Nations","48.531111111","-82.016944444","190","1979","24.1833333333333","136.736731186935"
"183","Innu Takuaikan Uashat Mak Mani-Utenam","First Nations","50.229744618","-66.388732617","367","1979","25.8166666666667","162.767219732542"
"184","Bonaparte","First Nations","50.836242676","-121.376098633","539","1979","23.2083333333333","154.370748714734"
"185","Lake Babine Nation","First Nations","54.238611111","-125.7625","219","1979","23.2083333333333","142.216006880438"
"186","Tl'etinqox-t'in Government Office","First Nations","52.020812988","-123.181884766","103","1979","23.2083333333333","155.281662803849"
"187","Kitsumkalum","First Nations","54.527038574","-128.670898438","481","1979","23.2083333333333","129.700230707331"
"188","Squamish","First Nations","49.31661099","-123.088666829","355","1979","23.2083333333333","230.300887119825"
"189","Ditidaht","First Nations","48.810424805","-124.671386719","498","1979","23.2083333333333","189.597743990396"
"190","Nisga'a Village of Gitwinksihlkw","First Nations","55.192993164","-129.221984863","348","1979","23.2083333333333","129.855729551581"
"191","Canim Lake","First Nations","51.778808594","-120.979614258","431","1979","23.2083333333333","149.870639900613"
"192","Stz'uminus First Nation","First Nations","49.01361084","-123.786499023","48","1979","23.2083333333333","193.676829046121"
"193","Siska","First Nations","50.137023926","-121.571899414","288","1979","23.2083333333333","182.358494486362"
"194","Tseshaht","First Nations","49.265808105","-124.84777832","27","1979","23.2083333333333","164.930429062946"
"195","Mohawks of Kahnawá:ke","First Nations","45.40802002","-73.674987793","14","1979","23.8583333333333","180.684416737504"
"196","Halalt","First Nations","48.876587363","-123.692826085","185","1979","23.2083333333333","139.322790879541"
"197","Innue Essipit","First Nations","48.333435059","-69.399963379","460","1979","24.375","206.643427995917"
"198","Pacheedaht First Nation","First Nations","48.578796387","-124.40826416","268","1979","23.2083333333333","133.086702902233"
"199","Splatsin First Nation","First Nations","50.550667597","-119.133367891","528","1979","23.2083333333333","165.938504466573"
"200","Samahquam","First Nations","49.991111111","-122.456944444","323","1979","23.2083333333333","133.644007018701"
"201","Peters","First Nations","49.29747","-121.656732","98","1979","23.2083333333333","229.135392656714"
"202","Semiahmoo","First Nations","49.014174","-122.777581","536","1979","23.2083333333333","130.569047510214"
"203","Scowlitz","First Nations","49.245","-121.995","230","1979","23.2083333333333","140.871277725575"
"204","Bridge River","First Nations","50.813888889","-122.083055556","377","1979","23.2083333333333","269.969049596175"
"205","Gitanmaax","First Nations","55.255","-127.671111111","210","1979","23.2083333333333","237.04008055041"
"206","Ulkatcho","First Nations","52.475402832","-125.300598145","8","1979","23.2083333333333","154.197357952372"
"207","N'Quatqua","First Nations","50.528055556","-122.483888889","309","1979","23.2083333333333","132.305057693244"
"208","Gwa'Sala-Nakwaxda'xw","First Nations","50.733215332","-127.498596191","545","1979","23.2083333333333","137.188229084793"
"209","Lhtako Dene Nation","First Nations","52.955200195","-122.450500488","121","1979","23.2083333333333","141.455637433879"
"210","Penticton","First Nations","49.468055556","-119.673055556","9","1979","23.2083333333333","131.630961837683"
"211","Takla Lake First Nation","First Nations","55.483032227","-125.968566895","487","1979","23.2083333333333","221.167476119777"
"212","Lhoosk'uz Dene Nation","First Nations","53.090820312","-124.488098145","207","1979","23.2083333333333","129.287782678857"
"213","Old Massett Village Council","First Nations","54.038635254","-132.180175781","281","1979","23.2083333333333","136.527492537518"
"214","Tataskweyak Cree Nation","First Nations","56.245317478","-96.095435139","324","1979","22.625","191.406927065034"
"215","Whispering Pines/Clinton","First Nations","50.986816406","-120.24786377","97","1979","23.2083333333333","132.074410163307"
"216","Fort Folly","First Nations","45.892211914","-64.495483398","61","1979","25.8166666666667","220.40542581707"
"217","Elsipogtog First Nation","First Nations","46.585833","-64.985833","296","1979","25.8166666666667","134.756816421964"
"218","Première Nation des Abénakis de Wôlinak","First Nations","46.328595491","-72.41895858","300","1979","23.8583333333333","231.120583589077"
"219","Heiltsuk","First Nations","52.166944444","-128.146944444","213","1979","23.2083333333333","139.198909865549"
"220","Wagmatcook","First Nations","46.082100621","-60.91523223","513","1979","25.8166666666667","139.984565960586"
"221","Cheslatta Carrier Nation","First Nations","54.005615234","-125.712585449","313","1979","23.2083333333333","129.76212776794"
"222","Upper Similkameen","First Nations","49.355041504","-120.078308105","533","1979","23.2083333333333","129.46884472195"
"223","Ehattesaht","First Nations","49.873840332","-126.976196289","380","1979","23.2083333333333","137.936094436275"
"224","Shamattawa First Nation","First Nations","55.858398437","-92.096069336","100","1979","22.625","237.805218151481"
"225","Gitsegukla","First Nations","55.096944444","-127.828888889","559","1979","23.2083333333333","134.457954993636"
"226","Cree Nation of Chisasibi","First Nations","53.789166667","-78.930555556","366","1979","23.95","141.210050303548"
"227","Conseil de la Première Nation Abitibiwinni","First Nations","48.598888889","-78.121111111","5","1979","23.95","133.115704184847"
"228","Seabird Island","First Nations","49.273055556","-121.721111421","542","1979","23.2083333333333","139.960037030573"
"229","Lyackson","First Nations","49.04119873","-123.636779785","182","1979","23.2083333333333","181.497826723798"
"230","Oweekeno/Wuikinuxv Nation","First Nations","51.681944444","-127.213888889","272","1979","23.2083333333333","129.25897977193"
"231","Tseycum","First Nations","48.66583252","-123.450866699","143","1979","23.2083333333333","127.124291046959"
"232","Oromocto","First Nations","45.851388889","-66.463611111","452","1979","24.375","130.12552086436"
"233","Glooscap First Nation","First Nations","45.0425","-64.236944","315","1979","24.5166666666667","228.283742793951"
